prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon
Oriental Mindoro,2024,19.968109130859375,25.33191680908203,32.42108917236328,2028
Oriental Mindoro,2025,21.008399963378906,27.302555084228516,36.149940490722656,2028
Oriental Mindoro,2026,22.026233673095703,28.845386505126953,38.654571533203125,2028
Oriental Mindoro,2027,22.776334762573242,29.862680435180664,39.987762451171875,2028
Oriental Mindoro,2028,23.2703914642334,30.510578155517578,40.64678192138672,2028
Palawan,2023,27.088960647583008,28.564987182617188,30.230173110961914,2028
Palawan,2024,27.02100372314453,28.531837463378906,30.303241729736328,2028
Palawan,2025,26.972291946411133,28.510873794555664,30.33906364440918,2028
Palawan,2026,26.939476013183594,28.494945526123047,30.340360641479492,2028
Palawan,2027,26.91312026977539,28.48217010498047,30.329376220703125,2028
Palawan,2028,26.890514373779297,28.47164535522461,30.314903259277344,2028
Pampanga,2023,43.403297424316406,47.28553771972656,52.23859405517578,2028
Pampanga,2024,43.188987731933594,47.085391998291016,52.385040283203125,2028
Pampanga,2025,43.04051971435547,46.989662170410156,52.48762512207031,2028
Pampanga,2026,42.92515182495117,46.89823532104492,52.43660354614258,2028
Pampanga,2027,42.818092346191406,46.808868408203125,52.325252532958984,2028
Pampanga,2028,42.7188720703125,46.72969055175781,52.205379486083984,2028
Pangasinan,2023,38.3857307434082,40.265830993652344,42.934078216552734,2028
Pangasinan,2024,38.761444091796875,40.981056213378906,43.85920333862305,2028
Pangasinan,2025,38.919002532958984,41.29480743408203,44.143375396728516,2028
Pangasinan,2026,38.95367431640625,41.40287780761719,44.17329788208008,2028
Pangasinan,2027,38.946861267089844,41.44401550292969,44.15218734741211,2028
Pangasinan,2028,38.92877960205078,41.46424102783203,44.12601089477539,2028
Quezon,2023,28.455324172973633,29.68254852294922,30.97842788696289,2028
Quezon,2024,28.418292999267578,29.924150466918945,31.47396469116211,2028
Quezon,2025,28.399932861328125,30.098899841308594,31.82374382019043,2028
Quezon,2026,28.38411521911621,30.20493507385254,32.017120361328125,2028
Quezon,2027,28.36696434020996,30.269731521606445,32.12216567993164,2028
Quezon,2028,28.349964141845703,30.31377410888672,32.18446350097656,2028
Quirino,2023,20.420377731323242,25.1072940826416,29.502429962158203,2028
Quirino,2024,20.263471603393555,24.947460174560547,29.656219482421875,2028
Quirino,2025,20.235393524169922,24.830522537231445,29.683364868164062,2028
Quirino,2026,20.24297332763672,24.752456665039062,29.63076400756836,2028
Quirino,2027,20.243932723999023,24.694883346557617,29.560781478881836,2028
Quirino,2028,20.23743438720703,24.64881134033203,29.491424560546875,2028
Rizal,2023,30.72468376159668,33.05759048461914,36.3076057434082,2028
Rizal,2024,31.30516815185547,34.22321701049805,38.239200592041016,2028
Rizal,2025,31.89929962158203,35.14743423461914,39.43363571166992,2028
Rizal,2026,32.3067512512207,35.700130462646484,39.92652893066406,2028
Rizal,2027,32.53150939941406,36.01304244995117,40.10469436645508,2028
Rizal,2028,32.649696350097656,36.204315185546875,40.17173385620117,2028
Romblon,2023,27.39562225341797,29.815196990966797,33.0626335144043,2028
Romblon,2024,27.32267189025879,30.623836517333984,34.48265075683594,2028
Romblon,2025,27.251605987548828,31.067764282226562,35.291908264160156,2028
Romblon,2026,27.19939422607422,31.32103157043457,35.736141204833984,2028
Romblon,2027,27.158063888549805,31.485233306884766,36.002471923828125,2028
Romblon,2028,27.122089385986328,31.605060577392578,36.181785583496094,2028
Samar,2023,28.34874153137207,29.544830322265625,31.227672576904297,2028
Samar,2024,28.513076782226562,30.01875114440918,32.148277282714844,2028
Samar,2025,28.690540313720703,30.416040420532227,32.82876968383789,2028
Samar,2026,28.814632415771484,30.672298431396484,33.19308090209961,2028
Samar,2027,28.891267776489258,30.83946990966797,33.38838195800781,2028
Samar,2028,28.940603256225586,30.95966339111328,33.50636672973633,2028
Sarangani,2023,19.93528938293457,22.505687713623047,26.36220932006836,2028
Sarangani,2024,19.870880126953125,23.185596466064453,27.965106964111328,2028
Sarangani,2025,19.972747802734375,23.999998092651367,29.451675415039062,2028
Sarangani,2026,20.08054542541504,24.599885940551758,30.376953125,2028
Sarangani,2027,20.146636962890625,24.99114990234375,30.953596115112305,2028
Sarangani,2028,20.193387985229492,25.27375030517578,31.379032135009766,2028
Siquijor,2023,25.519611358642578,31.96381950378418,39.00535583496094,2028
Siquijor,2024,25.7386417388916,31.382450103759766,37.84247589111328,2028
Siquijor,2025,26.057933807373047,31.079322814941406,37.24760818481445,2028
Siquijor,2026,26.265893936157227,30.974567413330078,37.010009765625,2028
Siquijor,2027,26.362520217895508,30.938129425048828,36.89599609375,2028
Siquijor,2028,26.396535873413086,30.918376922607422,36.817359924316406,2028
Sorsogon,2023,22.340744018554688,26.565082550048828,30.955883026123047,2028
Sorsogon,2024,22.124683380126953,26.448726654052734,31.207931518554688,2028
Sorsogon,2025,22.007980346679688,26.3554744720459,31.31344985961914,2028
Sorsogon,2026,21.955326080322266,26.282657623291016,31.29098892211914,2028
Sorsogon,2027,21.91391944885254,26.2249755859375,31.23271942138672,2028
Sorsogon,2028,21.873802185058594,26.177677154541016,31.169666290283203,2028
South Cotabato,2023,13.909721374511719,15.89391803741455,18.386852264404297,2028
South Cotabato,2024,14.191425323486328,16.367212295532227,18.697097778320312,2028
South Cotabato,2025,14.302038192749023,16.673946380615234,19.172218322753906,2028
South Cotabato,2026,14.382585525512695,16.874494552612305,19.505584716796875,2028
South Cotabato,2027,14.426254272460938,16.99635887145996,19.704303741455078,2028
South Cotabato,2028,14.444609642028809,17.073177337646484,19.822298049926758,2028
Southern Leyte,2023,20.597551345825195,21.901321411132812,23.447954177856445,2028
Southern Leyte,2024,20.9300479888916,22.57238006591797,24.623363494873047,2028
Southern Leyte,2025,21.316869735717773,23.33321762084961,25.78925323486328,2028
Southern Leyte,2026,21.563573837280273,23.804134368896484,26.39609718322754,2028
Southern Leyte,2027,21.681516647338867,24.05649185180664,26.670812606811523,2028
Southern Leyte,2028,21.73563003540039,24.206607818603516,26.811094284057617,2028
Sultan Kudarat,2023,15.780141830444336,19.709054946899414,24.251033782958984,2028
Sultan Kudarat,2024,16.314027786254883,21.226903915405273,27.5028018951416,2028
Sultan Kudarat,2025,17.492271423339844,23.580036163330078,31.938034057617188,2028
Sultan Kudarat,2026,19.019466400146484,25.965585708618164,35.70353698730469,2028
Sultan Kudarat,2027,20.1314754486084,27.387664794921875,37.50202178955078,2028
Sultan Kudarat,2028,20.76615333557129,28.08401870727539,38.15335464477539,2028
Sulu,2023,38.910919189453125,41.113826751708984,44.01259994506836,2028
Sulu,2024,38.840911865234375,41.84736251831055,45.397422790527344,2028
Sulu,2025,38.7872200012207,42.30873107910156,46.25847244262695,2028
Sulu,2026,38.74258041381836,42.57809829711914,46.72987365722656,2028
Sulu,2027,38.703956604003906,42.74888610839844,47.00591278076172,2028
Sulu,2028,38.67045593261719,42.871891021728516,47.19114685058594,2028
Surigao Del Norte,2023,23.49489402770996,25.668685913085938,28.630496978759766,2028
Surigao Del Norte,2024,23.88434600830078,26.5500545501709,30.45990753173828,2028
Surigao Del Norte,2025,24.726566314697266,27.834552764892578,32.41055679321289,2028
Surigao Del Norte,2026,25.34716033935547,28.692358016967773,33.29644012451172,2028
Surigao Del Norte,2027,25.658164978027344,29.168542861938477,33.68061065673828,2028
Surigao Del Norte,2028,25.815959930419922,29.455123901367188,33.89146041870117,2028
Surigao Del Sur,2023,29.587635040283203,32.3013916015625,35.633121490478516,2028
