prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon,risk_tier,pi_width,dynasty_share_2022,delta_from_2022,trajectory
Davao Del Norte,2023,14.050092697143556,16.537179946899414,19.238689422607425,2028,Low Risk,5.188596725463869,16.66666603088379,-0.129486083984375,Stable
Davao Del Norte,2024,14.085379600524902,16.20414924621582,19.194957733154297,2028,Low Risk,5.1095781326293945,16.66666603088379,-0.4625167846679687,Stable
Davao Del Norte,2025,14.797696113586426,17.05620574951172,20.5321044921875,2028,Low Risk,5.734408378601074,16.66666603088379,0.3895397186279297,Stable
Davao Del Norte,2026,15.89539909362793,18.533950805664062,22.304107666015625,2028,Low Risk,6.408708572387695,16.66666603088379,1.8672847747802737,Stable
Davao Del Norte,2027,16.545570373535156,19.407981872558594,23.24400329589844,2028,Low Risk,6.698432922363285,16.66666603088379,2.7413158416748047,Increasing
Davao Del Norte,2028,16.755598068237305,19.67923355102539,23.560985565185547,2028,Low Risk,6.805387496948242,16.66666603088379,3.0125675201416016,Increasing
Davao Del Sur,2023,20.92116355895996,25.24662208557129,29.92292022705078,2028,Low Risk,9.00175666809082,24.30555534362793,0.9410667419433594,Stable
Davao Del Sur,2024,20.784576416015625,25.49175071716309,30.96806907653809,2028,Low Risk,10.183492660522464,24.30555534362793,1.1861953735351598,Stable
Davao Del Sur,2025,21.00469017028809,25.943906784057617,31.80711555480957,2028,Low Risk,10.80242538452148,24.30555534362793,1.6383514404296875,Stable
Davao Del Sur,2026,21.247629165649418,26.314403533935547,32.32000732421875,2028,Low Risk,11.072378158569332,24.30555534362793,2.008848190307617,Increasing
Davao Del Sur,2027,21.31590461730957,26.434757232666016,32.517677307128906,2028,Low Risk,11.201772689819336,24.30555534362793,2.129201889038086,Increasing
Davao Del Sur,2028,21.27786445617676,26.40846061706543,32.56072998046875,2028,Low Risk,11.282865524291989,24.30555534362793,2.1029052734375,Increasing
Davao Occidental,2023,23.758514404296875,26.67737197875977,30.12184715270996,2028,Low Risk,6.363332748413086,37.70491790771485,-11.027545928955082,Decreasing
Davao Occidental,2024,23.47995948791504,26.506601333618164,30.151538848876953,2028,Low Risk,6.671579360961914,37.70491790771485,-11.198316574096689,Decreasing
Davao Occidental,2025,23.20732307434082,26.311920166015625,30.12616920471191,2028,Low Risk,6.91884613037109,37.70491790771485,-11.392997741699226,Decreasing
Davao Occidental,2026,22.98710823059082,26.130109786987305,30.072376251220703,2028,Low Risk,7.085268020629883,37.70491790771485,-11.574808120727546,Decreasing
Davao Occidental,2027,22.824949264526367,25.974788665771484,30.00672912597656,2028,Low Risk,7.181779861450192,37.70491790771485,-11.730129241943366,Decreasing
Davao Occidental,2028,22.71122169494629,25.849605560302734,29.93962860107422,2028,Low Risk,7.22840690612793,37.70491790771485,-11.855312347412116,Decreasing
Davao Oriental,2023,19.591630935668945,22.1689453125,25.18799591064453,2028,Low Risk,5.596364974975586,21.428571701049805,0.7403736114501953,Stable
Davao Oriental,2024,20.00838851928711,22.618881225585938,26.01481819152832,2028,Low Risk,6.006429672241211,21.428571701049805,1.1903095245361328,Stable
Davao Oriental,2025,20.553049087524418,23.440040588378903,27.15644645690918,2028,Low Risk,6.603397369384762,21.428571701049805,2.011468887329098,Increasing
Davao Oriental,2026,20.87862968444824,23.96161842346191,27.895505905151367,2028,Low Risk,7.0168762207031286,21.428571701049805,2.533046722412106,Increasing
Davao Oriental,2027,20.985126495361328,24.15234375,28.26600456237793,2028,Low Risk,7.280878067016602,21.428571701049805,2.7237720489501953,Increasing
Davao Oriental,2028,21.003190994262695,24.192707061767575,28.467273712158203,2028,Low Risk,7.464082717895508,21.428571701049805,2.76413536071777,Increasing
Dinagat Islands,2023,17.200448989868164,23.14362907409668,30.64269256591797,2028,Low Risk,13.442243576049805,23.456790924072266,-0.3131618499755859,Stable
Dinagat Islands,2024,16.951175689697266,22.24998664855957,30.16404914855957,2028,Low Risk,13.212873458862305,23.456790924072266,-1.206804275512695,Stable
Dinagat Islands,2025,17.595497131347656,23.21234130859375,32.37265396118164,2028,Low Risk,14.777156829833984,23.456790924072266,-0.2444496154785156,Stable
Dinagat Islands,2026,19.1361083984375,25.81824111938477,36.60511779785156,2028,Low Risk,17.469009399414062,23.456790924072266,2.3614501953125036,Increasing
Dinagat Islands,2027,20.946041107177734,28.66261863708496,40.495086669921875,2028,Low Risk,19.54904556274414,23.456790924072266,5.205827713012695,Increasing
